Name	Beschreibung	Status  	Starttyp	Anmelden als
UPnP-Gerätehost	Ermöglicht es, dass UPnP-Geräte auf diesem Computer gehostet werden können. Wenn dieser Dienst gestoppt wird, sind alle gehosteten UPnP-Geräte nicht mehr betriebsbereit, und es können keine weiteren gehosteten Geräte hinzugefügt werden. Wenn dieser Dienst deaktiviert ist, können alle Dienste, die explizit von diesem Dienst abhängen, nicht mehr gestartet werden.		Manuell	Lokaler Dienst
Verbessertes Windows-Audio/Video-Streaming	Der Windows-Dienst für verbessertes Audio/Video-Streaming (qWave) ist eine Netzwerkplattform für Audio/Video-Streaminganwendungen (AV) auf privaten IP-Netzwerken. qWave verbessert die AV-Streamingleistung und -zuverlässigkeit, indem ein Netzwerk-QoS (Quality-of-Service) für AV-Anwendungen sichergestellt wird. Es werden Mechanismen für Zugangssteuerung, Laufzeitüberwachung und -erzwingung,  Anwendungsfeedback sowie Verkehrspriorisierung bereitgestellt.		Manuell	Lokaler Dienst
Verbindungs-Manager-Dienst von Wi-Fi Direct Services	Verwaltet Verbindungen mit Drahtlosdiensten einschließlich drahtloser Anzeige und Andocken.		Manuell (Start durch Auslöser)	Lokaler Dienst
Verbindungsschicht-Topologieerkennungs-Zuordnungsprogramm	Erstellt eine Netzwerkübersicht, die Computer- und Gerätetopologieinformationen (d.h. Konnektivitätsinformationen) und Metadaten enthält, die jeden Computer und jedes Gerät beschreiben. Wenn dieser Dienst deaktiviert wird, wird die Netzwerkübersicht nicht mehr richtig funktionieren.		Manuell	Lokaler Dienst
Verschlüsselndes Dateisystem (EFS)	Stellt die Kerntechnologie für die Dateiverschlüsselung dar, die zum Speichern von verschlüsselten Dateien auf NTFS-Dateisystemvolumes verwendet wird. Wenn dieser Dienst angehalten oder deaktiviert wird, können Anwendungen nicht auf verschlüsselte Dateien zugreifen.		Manuell (Start durch Auslöser)	Lokales System
Verwaltung für automatische RAS-Verbindung	Erstellt eine Verbindung zu einem Remotenetzwerk, wenn ein Programm eine Remote-DNS- oder -NetBIOS-Adresse referenziert.		Manuell	Lokales System
Verwaltungsdienst für Unternehmens-Apps	Ermöglicht die Verwaltung von Unternehmensanwendungen.		Manuell	Lokales System
Virtueller Datenträger	Stellt Verwaltungsdienste für Datenträger, Volumes, Dateisysteme und Speicherarrays bereit.		Manuell	Lokales System
Volumeschattenkopie	Verwaltet und implementiert Volumeschattenkopien, die zu Sicherungs- und anderen Zwecken verwendet werden. Wenn dieser Dienst beendet wird, werden keine Schattenkopien für Sicherungen verfügbar sein und die Sicherung kann eventuell fehlschlagen. Falls dieser Dienst deaktiviert wird, können die Dienste, die von diesem Dienst ausschließlich abhängig sind, nicht mehr gestartet werden.		Manuell	Lokales System
Volumetric Audio Compositor-Dienst	Hostet räumliche Analysen für Mixed Reality-Audiosimulationen.		Manuell	Lokaler Dienst
WalletService	Von Clients der Funktion 'Brieftasche' verwendete Hostobjekte		Manuell	Lokales System
WAP-Push-Nachrichten Routing-Dienst (Wireless Application Protocol) für die Geräteverwaltung	Routet vom Gerät empfangene WAP-Push-Nachrichten (Wireless Application Protocol) und synchronisiert Geräteverwaltungssitzungen		Manuell (Start durch Auslöser)	Lokales System
WarpJITSvc	Provides a JIT out of process service for WARP when running with ACG enabled.		Manuell (Start durch Auslöser)	Lokaler Dienst
Web Account Manager	Dieser Dienst wird vom Web Account Manager verwendet, um das einmalige Anmelden bei Apps und Diensten zu ermöglichen.	Wird ausgeführt	Manuell	Lokales System
WebClient	Ermöglicht Windows-basierten Programmen, Internet-basierte Dateien zu erstellen, darauf zuzugreifen und sie zu verändern. Wenn dieser Dienst beendet wird, werden diese Funktionen nicht mehr zur Verfügung stehen. Falls dieser Dienst deaktiviert wird, können die Dienste, die von diesem Dienst ausschließlich abhängig sind, nicht mehr gestartet werden.		Manuell (Start durch Auslöser)	Lokaler Dienst
Windows 10-Dienst zur Vereinfachung von Updates	Ein unkomplizierter Dienst zur Vereinfachung von Updates in Windows 10.	Wird ausgeführt	Automatisch	Lokales System
Windows Defender Antivirus Service	Schützt Benutzer vor Schadsoftware und weiterer potenziell unerwünschter Software.	Wird ausgeführt	Automatisch	Lokales System
Windows Defender Antivirus-Netzwerkinspektionsdienst	Schützt gegen Eindringversuche bei bekannten und neu erkannten Sicherheitsrisiken von Netzwerkprotokollen.	Wird ausgeführt	Manuell	Lokaler Dienst
Windows Defender Firewall	Die Windows Defender Firewall trägt zum Schutz des Computers bei, indem der Zugriff durch nicht autorisierte Benutzer auf den Computer über das Internet bzw. ein Netzwerk verhindert wird.	Wird ausgeführt	Automatisch	Lokaler Dienst
Windows Installer	Fügt Anwendungen, die als Windows Installer-Paket (*.msi, *.msp) angeboten werden, hinzu bzw. ändert oder entfernt sie. Wenn dieser Dienst deaktiviert ist, können alle Dienste, die explizit davon abhängen, nicht gestartet werden.		Manuell	Lokales System
Windows Media Player-Netzwerkfreigabedienst	Gibt Windows Media Player-Bibliotheken mithilfe des universellen Plug & Play für andere Players und Mediengeräte auf dem Netzwerk frei		Manuell	Netzwerkdienst
Windows Modules Installer	Ermöglicht das Installieren, Ändern und Entfernen von Windows-Updates und optionalen Komponenten. Wenn dieser Dienst deaktiviert ist, können beim Installieren oder Deinstallieren von Windows-Updates auf diesem Computer Fehler auftreten.	Wird ausgeführt	Manuell	Lokales System
Windows Perception Service	Ermöglicht die räumliche Wahrnehmung, räumliche Eingaben und holografisches Rendering.		Manuell (Start durch Auslöser)	Lokaler Dienst
Windows Perception Simulation Service	Ermöglicht die Simulation der räumlichen Wahrnehmung, die Verwaltung der virtuellen Kamera und die Simulation räumlicher Eingaben.		Manuell	Lokales System
Windows Presentation Foundation-Schriftartcache 3.0.0.0	Optimiert die WPF-Anwendungen (Windows Presentation Foundation), indem häufig verwendete Schriftartdaten zwischengespeichert werden. WPF-Anwendungen starten diesen Dienst, wenn er nicht bereits gestartet wurde. Der Dienst kann deaktiviert werden, dadurch wird jedoch die Leistung der WPF-Anwendungen vermindert.	Wird ausgeführt	Manuell	Lokaler Dienst
Windows PushToInstall-Dienst	Bietet Infrastrukturunterstützung für den Microsoft Store. Der Dienst wird automatisch gestartet. Falls er deaktiviert ist, funktionieren Remoteinstallationen nicht ordnungsgemäß.		Manuell (Start durch Auslöser)	Lokales System
Windows Remediation Service	Remediates Windows Update Components	Wird ausgeführt	Automatisch (Verzögerter Start)	Lokales System
Windows Search	Stellt Inhaltsindizierung und Eigenschaftenzwischenspeicherung und Suchergebnisse für Dateien, E-Mails und andere Inhalte bereit.	Wird ausgeführt	Automatisch (Verzögerter Start)	Lokales System
Windows Update	Erkennung, Herunterladen und Installation von Updates für Windows und andere Programme. Wenn der Dienst deaktiviert ist, können "Windows Update" bzw. das Feature "automatische Updates" nicht verwendet werden. Außerdem können Programme dann die Windows Update Agent-Programmierschnittstelle (WUA API) nicht verwenden.		Manuell (Start durch Auslöser)	Lokales System
Windows Update Medic Service	Enables remediation and protection of Windows Update components.		Manuell	Lokales System
Windows-Audio	Verwaltet Audioinhalte für Windows-basierte Programme. Wenn dieser Dienst beendet wird, funktionieren Audiogeräte und -effekte nicht ordnungsgemäß. Wenn dieser Dienst deaktiviert wird, können die Dienste, die von diesem Dienst explizit abhängig sind, nicht mehr gestartet werden.	Wird ausgeführt	Automatisch	Lokaler Dienst
Windows-Audio-Endpunkterstellung	Verwaltet Audiogeräte für den Windows-Audiodienst. Wird der Dienst beendet, sind Audiogeräte und -effekte nicht mehr ordnungsgemäß funktionsfähig. Wird der Dienst deaktiviert, können Dienste, die explizit von diesem Dienst abhängig sind, nicht mehr gestartet werden.	Wird ausgeführt	Automatisch	Lokales System
Windows-Bilderfassung (WIA)	Stellt Bilderfassungsdienste für Scanner und Kameras zur Verfügung		Manuell	Lokaler Dienst
Windows-Biometriedienst	Mit dem Windows-Biometriedienst können in Clientanwendungen biometrische Daten erfasst, verglichen, geändert und gespeichert werden, ohne dass ein direkter Zugriff auf biometrische Hardware oder Proben erfolgt. Der Dienst wird in einem privilegierten SVCHOST-Prozess gehostet.		Manuell (Start durch Auslöser)	Lokales System
Windows-Dienst für mobile Hotspots	Ermöglicht die Freigabe einer Datenverbindung für ein anderes Gerät.		Manuell (Start durch Auslöser)	Lokaler Dienst
Windows-Dienst für Schriftartencache	Optimiert die Leistung von Anwendungen durch Speichern häufig verwendeter Schriftartendaten. Dieser Dienst wird von Anwendungen gestartet, wenn er nicht bereits ausgeführt wird. Er kann deaktiviert werden, dadurch wird jedoch die Leistung von Anwendungen herabgesetzt.	Wird ausgeführt	Automatisch	Lokaler Dienst
Windows-Ereignisprotokoll	Dieser Dienst verwaltet Ereignisse und Ereignisprotokolle. Er unterstützt die Protokollierung, Abfrage und Abonnierung von Ereignissen sowie die Archivierung von Ereignisprotokollen und die Verwaltung von Ereignismetadaten. Er kann Ereignisse im XML- und Nur-Text-Format anzeigen. Durch das Beenden dieses Dienstes können die Sicherheit und Zuverlässigkeit des Systems beeinträchtigt werden.	Wird ausgeführt	Automatisch	Lokaler Dienst
Windows-Ereignissammlung	Dieser Dienst verwaltet permanente Abonnements für Ereignisse von Remotequellen, die das WS-Verwaltungsprotokoll unterstützen. Hierzu gehören Windows Vista-Ereignisprotokolle sowie Hardware- und IPMI-fähige Ereignisquellen. Der Dienst speichert weitergeleitete Ereignisse in einem lokalen Ereignisprotokoll. Falls dieser Dienst beendet oder deaktiviert wird, können Ereignisabonnements nicht erstellt und weitergeleitete Ereignisse nicht angenommen werden.		Manuell	Netzwerkdienst
Windows-Fehlerberichterstattungsdienst	Ermöglicht das Berichterstatten über Fehler bei nicht mehr funktionierenden und reagierenden Programmen und das Angeben von Lösungen. Ermöglicht außerdem das Generieren von Protokollen für Diagnose- und Reparaturdienste. Wenn dieser Dienst beendet wird, funktioniert die Fehlerberichterstattung möglicherweise nicht ordnungsgemäß, und die Ergebnisse von Diagnosediensten und Reparaturen werden möglicherweise nicht angezeigt.		Manuell (Start durch Auslöser)	Lokales System
Windows-Insider-Dienst	Bietet Infrastrukturunterstützung für das Windows-Insider-Programm. Dieser Dienst muss aktiviert sein, damit das Windows-Insider-Programm funktioniert.		Manuell (Start durch Auslöser)	Lokales System
Windows-Kamera-FrameServer	Ermöglicht mehreren Clients den Zugriff auf Videoframes von Kameras.		Manuell (Start durch Auslöser)	Lokaler Dienst
Windows-Lizenz-Manager-Dienst	Bietet Infrastrukturunterstützung für den Microsoft Store. Der Dienst wird bei Bedarf gestartet. Falls er deaktiviert ist, funktionieren im Microsoft Store erworbene Inhalte nicht ordnungsgemäß.	Wird ausgeführt	Manuell (Start durch Auslöser)	Lokaler Dienst
Windows-Pushbenachrichtigungs-Benutzerdienst_2424160	Dieser Dienst hostet die Windows-Benachrichtigungsplattform, die lokale Benachrichtigungen und Pushbenachrichtigungen unterstützt. Unterstützt werden Kachel-, Popup- und unformatierte Benachrichtigungen.	Wird ausgeführt	Automatisch	Lokales System
Windows-Pushbenachrichtigungssystemdienst	Der Dienst wird in Sitzung 0 ausgeführt und hostet die Benachrichtigungsplattform und den Verbindungsanbieter, der die Verbindung zwischen Gerät und WNS-Server behandelt.	Wird ausgeführt	Automatisch	Lokales System
Windows-Remoteverwaltung (WS-Verwaltung)	Der Windows-Remoteverwaltungsdienst (WinRM) implementiert das WS-Verwaltungsprotokoll für die Remoteverwaltung. Die WS-Verwaltung ist ein Webdienstprotokoll für die Remoteverwaltung von Software und Hardware. Der WinRM-Dienst hört das Netzwerk auf WS-Verwaltungsanforderungen ab und verarbeitet diese. Er muss dafür mit dem Befehlszeilentool "winrm" oder über Gruppenrichtlinien mit einem Listener konfiguriert werden. Er bietet Zugriff auf WMI-Daten und ermöglicht die Ereigniserfassung. Die Erfassung und Abonnierung von Ereignissen setzt voraus, dass der Dienst ausgeführt wird. WinRM-Nachrichten verwenden HTTP und HTTPS als Transportprotokoll. Der WinRM-Dienst ist nicht von IIS abhängig, ist jedoch zur Freigabe eines Anschlusses mit IIS auf demselben Computer vorkonfiguriert. Das URL-Präfix "/wsman" ist für den WinRM-Dienst reserviert. Um Konflikte mit IIS zu vermeiden, sollten Administratoren sicherstellen, dass für in IIS gehostete Websites nicht das URL-Präfix "/wsman" verwendet wird.		Manuell	Netzwerkdienst
Windows-Sicherheitsdienst	Der Windows-Sicherheitsdienst sorgt für den einheitlichen Geräteschutz und für Integritätsinformationen	Wird ausgeführt	Manuell	Lokales System
Windows-Sicherung	Stellt Windows-Funktionen zum Sichern und Wiederherstellen bereit.		Manuell	Lokales System
Windows-Sofortverbindung - Konfigurationsregistrierungsstelle	WCNCSVC hostet die Windows-Sofortverbindungskonfiguration, die die Implementierung des WPS (Wireless Protected Setup)-Protokolls von Microsoft ist. Hiermit werden W-LAN-Einstellungen für einen Zugriffspunkt oder ein Drahtlosgerät konfiguriert. Der Dienst wird bei Bedarf programmgesteuert gestartet.		Manuell	Lokaler Dienst
Windows-Verbindungs-Manager	Anhand der aktuell auf dem PC verfügbaren Netzwerkkonnektivitätsoptionen wird die Verbindung automatisch hergestellt oder getrennt. Zudem kann die Netzwerkkonnektivität mithilfe von Gruppenrichtlinieneinstellungen verwaltet werden.	Wird ausgeführt	Automatisch (Start durch Auslöser)	Lokaler Dienst
Windows-Verwaltungsdienst	Führt Verwaltungsaufgaben, einschließlich Bereitstellungs- und Registrierungsaktivitäten aus.		Manuell	Lokales System
Windows-Verwaltungsinstrumentation	Bietet eine standardmäßige Schnittstelle und Objektmodell zum Zugreifen auf Verwaltungsinformationen über das Betriebssystem, Geräte, Anwendungen und Dienste. Die meiste Windows-basierte Software kann nicht ordnungsgemäß ausgeführt werden, falls dieser Dienst beendet wird. Falls dieser Dienst deaktiviert wird, können die Dienste, die von diesem Dienst ausschließlich abhängig sind, nicht mehr gestartet werden.	Wird ausgeführt	Automatisch	Lokales System
Windows-Zeitgeber	Behält Datums- und Zeitsynchronisation auf allen Clients und Servern im Netzwerk bei. Wird dieser Dienst beendet, sind Datums- und Zeitsynchronisation nicht verfügbar. Wird dieser Dienst deaktiviert, können keine explizit von der Synchronisation abhängigen Dienste gestartet werden.		Manuell (Start durch Auslöser)	Lokaler Dienst
WinHTTP-Web Proxy Auto-Discovery-Dienst	WinHTTP implementiert den HTTP-Clientstapel und bietet Entwicklern eine Win32-API und COM-Automatisierungskomponente zum Senden von HTTP-Anforderungen und zum Empfangen von Antworten. Außerdem unterstützt WinHTTP die automatische Erkennung von Proxykonfigurationen über die entsprechende Implementierung des WPAD-Protokolls (Web Proxy Auto-Discovery).	Wird ausgeführt	Manuell	Lokaler Dienst
WMI-Leistungsadapter	Bietet Leistungsbibliotheksinformationen der Windows-Verwaltungsinstrumentationsanbieter für Clients im Netzwerk. Dieser Dienst wird nur ausgeführt, wenn das Leistungsdaten-Hilfsprogramm aktiviert ist.		Manuell	Lokales System
WWAN - automatische Konfiguration	Mit dem Dienst werden mobile Breitbanddatenkarten (GSM & CDMA)/eingebettete Moduladapter und Verbindungen durch die automatische Konfiguration der Netzwerke verwaltet. Die Ausführung des Diensts wird aus Gründen der Benutzerfreundlichkeit mobiler Breitbandgeräte dringend empfohlen.		Manuell	Lokales System
Xbox Accessory Management Service	This service manages connected Xbox Accessories.		Manuell (Start durch Auslöser)	Lokales System
Xbox Live Authentifizierungs-Manager	Stellt Authentifizierungs- und Autorisierungsservices für Xbox Live bereit. Wenn der Service beendet wird, funktionieren einige Anwendungen möglicherweise nicht richtig.		Manuell	Lokales System
Xbox Live-Netzwerkservice	Dieser Service unterstützt die Anwendungsprogrammierschnittstelle Windows.Networking.XboxLive.		Manuell	Lokales System
Xbox Live-Spiele speichern	Dieser Service synchronisiert für Xbox Live-Spiele gespeicherte Daten. Wenn der Service beendet wird, werden die gespeicherten Spieldaten nicht zu bzw. von Xbox Live hochgeladen oder heruntergeladen.		Manuell (Start durch Auslöser)	Lokales System
Zahlungs- und NFC/SE-Manager	Verwaltet Zahlungen und sichere Elemente, die auf NFC (Near Field Communication) basieren.	Wird ausgeführt	Manuell (Start durch Auslöser)	Lokaler Dienst
Zeitbroker	Koordiniert die Ausführung der Hintergrundvorgänge für WinRT-Anwendungen. Wird dieser Dienst beendet oder deaktiviert, werden die Hintergrundvorgänge unter Umständen nicht ausgelöst.	Wird ausgeführt	Manuell (Start durch Auslöser)	Lokaler Dienst
Zertifikatverteilung	Kopiert Benutzerzertifikate und Stammzertifikate von Smartcards in den Zertifikatspeicher des aktuellen Benutzers. Erkennt, wenn eine Smartcard in einen Smartcardleser gesteckt wird und installiert ggf. den Smartcard-Plug & Play-Minitreiber.		Manuell (Start durch Auslöser)	Lokales System
Zwischenablage-Benutzerdienst_2424160	Dieser Benutzerdienst wird für Zwischenablageszenarien verwendet.	Wird ausgeführt	Manuell	Lokales System
